airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-24,kolkata,banglore,14:05:00,19:50:00,345,1.0,no info,14571
Spicejet,2019-05-01,kolkata,banglore,11:15:00,18:30:00,435,1.0,no info,8844
Jet Airways,2019-06-15,delhi,cochin,12:15:00,04:25:00,970,2.0,no info,14300
Air India,2019-05-01,kolkata,banglore,12:00:00,18:30:00,1830,2.0,no info,10151
Multiple Carriers,2019-03-27,delhi,cochin,07:10:00,21:20:00,850,2.0,no info,6197
Indigo,2019-04-15,kolkata,banglore,20:20:00,22:55:00,155,0.0,no info,4174
Jet Airways,2019-05-18,delhi,cochin,05:30:00,04:25:00,1375,2.0,in-flight meal not included,13029
Air India,2019-03-24,kolkata,banglore,09:10:00,11:10:00,1560,2.0,no info,15187
Indigo,2019-04-15,kolkata,banglore,19:35:00,23:15:00,220,1.0,no info,4226
Jet Airways,2019-05-06,kolkata,banglore,20:25:00,22:05:00,1540,1.0,in-flight meal not included,9314
Jet Airways,2019-04-06,banglore,delhi,18:55:00,22:00:00,185,0.0,no info,7229
Vistara,2019-03-03,banglore,new delhi,07:00:00,09:40:00,160,0.0,no info,8028
Air Asia,2019-06-09,kolkata,banglore,07:35:00,23:30:00,955,1.0,no info,7870
Jet Airways,2019-06-06,kolkata,banglore,17:00:00,10:55:00,1075,1.0,in-flight meal not included,10539
Vistara,2019-03-24,kolkata,banglore,09:55:00,20:25:00,630,1.0,no info,12312
Jet Airways,2019-03-03,delhi,cochin,17:30:00,04:25:00,655,1.0,no info,17024
Vistara,2019-05-21,delhi,cochin,06:00:00,09:10:00,190,0.0,no info,6741
Air Asia,2019-06-06,delhi,cochin,16:45:00,22:25:00,340,1.0,no info,11410
Jet Airways,2019-05-09,banglore,delhi,06:00:00,08:45:00,165,0.0,in-flight meal not included,4030
Jet Airways,2019-05-09,kolkata,banglore,09:35:00,23:35:00,840,1.0,no info,12121
Jet Airways,2019-05-21,delhi,cochin,09:40:00,04:25:00,1125,2.0,in-flight meal not included,13029
Multiple Carriers,2019-05-09,delhi,cochin,08:30:00,19:00:00,630,1.0,no info,9627
Jet Airways,2019-06-12,delhi,cochin,14:35:00,12:35:00,1320,2.0,no info,13376
Spicejet,2019-04-09,delhi,cochin,06:05:00,11:20:00,315,1.0,no info,5351
Air India,2019-05-18,delhi,cochin,07:05:00,09:25:00,1580,2.0,no info,10975
Jet Airways,2019-05-06,delhi,cochin,11:40:00,19:00:00,440,2.0,no info,21219
Multiple Carriers,2019-06-03,delhi,cochin,09:45:00,16:10:00,385,1.0,no info,9646
Air India,2019-06-06,banglore,delhi,10:00:00,12:45:00,165,0.0,no info,6961
Jet Airways,2019-05-01,banglore,delhi,08:20:00,11:20:00,180,0.0,no info,7229
Jet Airways,2019-03-01,banglore,new delhi,16:55:00,08:15:00,920,1.0,no info,26890
Multiple Carriers,2019-06-03,delhi,cochin,08:00:00,19:15:00,675,1.0,no info,15058
Air India,2019-03-21,delhi,cochin,19:00:00,19:15:00,1455,1.0,no info,6587
Indigo,2019-06-18,kolkata,banglore,20:25:00,23:10:00,165,0.0,no info,4804
Indigo,2019-03-24,banglore,new delhi,10:10:00,13:00:00,170,0.0,no info,10067
Indigo,2019-03-21,delhi,cochin,17:10:00,01:35:00,505,1.0,no info,7318
Multiple Carriers,2019-06-24,delhi,cochin,09:15:00,19:15:00,600,1.0,no info,8099
Air India,2019-03-21,banglore,new delhi,22:00:00,10:50:00,770,1.0,no info,6955
Jet Airways,2019-05-21,delhi,cochin,09:40:00,04:25:00,1125,2.0,in-flight meal not included,13029
Jet Airways,2019-03-24,kolkata,banglore,06:30:00,22:35:00,965,1.0,in-flight meal not included,8824
Jet Airways,2019-06-15,delhi,cochin,14:00:00,19:00:00,300,1.0,no info,14714
Goair,2019-04-03,delhi,cochin,10:35:00,19:35:00,540,1.0,no info,5135
Jet Airways,2019-04-18,banglore,delhi,18:55:00,22:00:00,185,0.0,no info,7229
Jet Airways,2019-04-03,mumbai,hyderabad,02:55:00,04:20:00,85,0.0,in-flight meal not included,2228
Jet Airways,2019-05-27,delhi,cochin,19:10:00,12:35:00,1045,2.0,no info,15129
Multiple Carriers,2019-05-15,delhi,cochin,09:45:00,16:10:00,385,1.0,no info,9646
Indigo,2019-03-24,chennai,kolkata,07:55:00,10:15:00,140,0.0,no info,4326
Indigo,2019-03-12,chennai,kolkata,07:55:00,10:15:00,140,0.0,no info,6297
Jet Airways,2019-06-15,delhi,cochin,06:45:00,04:25:00,1300,2.0,no info,13376
Jet Airways,2019-03-01,banglore,new delhi,11:40:00,09:30:00,1310,1.0,no info,25735
Jet Airways,2019-06-06,delhi,cochin,09:25:00,04:25:00,1140,2.0,no info,13882
Spicejet,2019-06-06,delhi,cochin,06:05:00,11:20:00,315,1.0,no info,5583
Jet Airways,2019-06-15,delhi,cochin,20:00:00,12:35:00,995,2.0,no info,14300
Indigo,2019-03-03,delhi,cochin,07:30:00,13:20:00,350,1.0,no info,13628
Jet Airways,2019-05-27,delhi,cochin,05:30:00,19:00:00,810,2.0,no info,15129
Jet Airways,2019-03-21,banglore,new delhi,08:55:00,19:10:00,615,1.0,in-flight meal not included,7832
Indigo,2019-05-27,delhi,cochin,10:35:00,01:30:00,895,1.0,no info,6104
Multiple Carriers,2019-05-18,delhi,cochin,09:45:00,16:10:00,385,1.0,no info,9646
Jet Airways,2019-03-06,delhi,cochin,09:00:00,18:50:00,590,1.0,no info,17024
Multiple Carriers,2019-06-03,delhi,cochin,07:05:00,19:15:00,730,1.0,no info,15058
Spicejet,2019-04-03,delhi,cochin,08:45:00,13:15:00,270,1.0,no check-in baggage included,4098
Air India,2019-05-24,kolkata,banglore,14:15:00,16:45:00,150,0.0,no info,5510
Multiple Carriers,2019-03-27,delhi,cochin,07:05:00,21:20:00,855,2.0,no info,6128
Air India,2019-03-15,banglore,new delhi,10:30:00,21:25:00,655,2.0,no info,6593
Air Asia,2019-05-24,banglore,delhi,04:55:00,07:45:00,170,0.0,no info,3383
Jet Airways,2019-03-24,mumbai,hyderabad,07:10:00,08:35:00,85,0.0,in-flight meal not included,2470
Air India,2019-06-06,kolkata,banglore,14:35:00,14:35:00,1440,1.0,no info,6528
Air India,2019-03-21,kolkata,banglore,14:15:00,16:45:00,150,0.0,no info,5170
Air India,2019-03-24,kolkata,banglore,09:10:00,21:50:00,760,2.0,no info,15187
Air India,2019-03-06,delhi,cochin,16:40:00,19:15:00,1595,2.0,no info,12646
Indigo,2019-04-27,banglore,delhi,16:55:00,19:55:00,180,0.0,no info,4823
Multiple Carriers,2019-06-12,delhi,cochin,13:00:00,01:30:00,750,1.0,no info,13377
Air Asia,2019-03-15,kolkata,banglore,10:20:00,12:55:00,155,0.0,no info,4384
Air India,2019-06-12,mumbai,hyderabad,13:55:00,15:25:00,90,0.0,no info,3100
Indigo,2019-06-12,delhi,cochin,04:55:00,21:00:00,965,1.0,no info,5894
Air India,2019-03-01,banglore,new delhi,17:00:00,23:10:00,370,1.0,no info,11628
Air India,2019-04-09,delhi,cochin,20:15:00,19:15:00,1380,2.0,no info,9916
Multiple Carriers,2019-06-09,delhi,cochin,14:00:00,21:00:00,420,1.0,no info,13587
Air India,2019-06-03,delhi,cochin,07:10:00,07:40:00,1470,2.0,no info,12698
Jet Airways,2019-06-09,kolkata,banglore,06:30:00,16:20:00,590,1.0,no info,14571
Vistara,2019-04-27,banglore,delhi,19:30:00,22:15:00,165,0.0,no info,5613
Spicejet,2019-03-18,mumbai,hyderabad,22:45:00,00:10:00,85,0.0,no check-in baggage included,1965
Indigo,2019-05-01,kolkata,banglore,07:10:00,12:40:00,330,1.0,no info,6111
Indigo,2019-05-03,banglore,delhi,04:00:00,06:50:00,170,0.0,no info,3943
Air India,2019-03-12,mumbai,hyderabad,19:40:00,09:10:00,810,1.0,no info,10208
Air India,2019-05-24,kolkata,banglore,05:50:00,13:15:00,445,2.0,no info,7662
Jet Airways,2019-05-18,delhi,cochin,09:00:00,12:35:00,1655,1.0,in-flight meal not included,12373
Jet Airways,2019-05-09,delhi,cochin,14:00:00,04:25:00,865,1.0,in-flight meal not included,12373
Jet Airways,2019-05-15,kolkata,banglore,17:00:00,09:45:00,1005,1.0,no info,13067
Goair,2019-05-06,delhi,cochin,07:25:00,13:35:00,370,1.0,no info,6296
Jet Airways,2019-06-09,kolkata,banglore,16:30:00,23:35:00,425,1.0,no info,14571
Jet Airways,2019-05-18,kolkata,banglore,09:35:00,22:05:00,750,1.0,in-flight meal not included,12384
Goair,2019-05-09,kolkata,banglore,16:40:00,00:15:00,455,1.0,no info,8777
Indigo,2019-06-12,banglore,delhi,18:55:00,21:50:00,175,0.0,no info,4823
Indigo,2019-03-24,banglore,new delhi,04:00:00,06:50:00,170,0.0,no info,4777
Indigo,2019-06-09,kolkata,banglore,15:15:00,17:45:00,150,0.0,no info,5224
Jet Airways,2019-03-18,mumbai,hyderabad,19:35:00,21:05:00,90,0.0,no info,5678
Multiple Carriers,2019-06-12,delhi,cochin,07:05:00,19:15:00,730,1.0,in-flight meal not included,11667
Air India,2019-03-03,delhi,cochin,22:00:00,19:15:00,1275,2.0,no info,22096
Vistara,2019-03-24,banglore,new delhi,12:00:00,14:40:00,160,0.0,no info,7608
Jet Airways,2019-03-21,banglore,new delhi,19:55:00,22:35:00,160,0.0,no info,7229
Jet Airways,2019-05-06,kolkata,banglore,06:30:00,08:15:00,1545,1.0,in-flight meal not included,8586
Jet Airways,2019-06-24,delhi,cochin,20:55:00,04:25:00,450,1.0,in-flight meal not included,10262
Jet Airways,2019-06-15,delhi,cochin,21:25:00,19:00:00,1295,2.0,in-flight meal not included,10588
Indigo,2019-03-09,banglore,new delhi,22:20:00,01:10:00,170,0.0,no info,6144
Vistara,2019-05-01,kolkata,banglore,07:10:00,22:40:00,930,1.0,no info,8452
Jet Airways,2019-06-12,kolkata,banglore,14:05:00,19:50:00,345,1.0,no info,13626
Indigo,2019-06-12,delhi,cochin,16:00:00,01:30:00,570,1.0,no info,6316
Air Asia,2019-05-12,banglore,delhi,04:55:00,07:45:00,170,0.0,no info,4282
Air India,2019-05-18,delhi,cochin,22:00:00,19:15:00,1275,2.0,no info,10441
Vistara,2019-03-09,delhi,cochin,06:00:00,09:10:00,190,0.0,no info,7266
Multiple Carriers,2019-05-27,delhi,cochin,07:30:00,19:00:00,690,1.0,no info,11264
Air India,2019-05-18,kolkata,banglore,12:00:00,21:50:00,590,2.0,no info,10151
Air Asia,2019-06-09,kolkata,banglore,19:55:00,22:25:00,150,0.0,no info,4409
Jet Airways,2019-04-21,banglore,delhi,17:45:00,20:45:00,180,0.0,in-flight meal not included,4544
Air India,2019-05-12,banglore,delhi,17:00:00,19:45:00,165,0.0,no info,5438
Indigo,2019-06-27,delhi,cochin,07:35:00,16:10:00,515,1.0,no info,6442
Jet Airways,2019-06-09,delhi,cochin,19:45:00,04:25:00,520,1.0,in-flight meal not included,10577
Indigo,2019-05-18,kolkata,banglore,15:30:00,18:05:00,155,0.0,no info,4804
Indigo,2019-06-27,banglore,delhi,07:10:00,10:05:00,175,0.0,no info,4823
Vistara,2019-05-06,chennai,kolkata,17:45:00,20:05:00,140,0.0,no info,11982
Indigo,2019-06-24,delhi,cochin,11:25:00,01:30:00,845,1.0,no info,5684
Indigo,2019-04-21,banglore,delhi,21:15:00,00:15:00,180,0.0,no info,4423
Indigo,2019-04-01,kolkata,banglore,14:25:00,16:55:00,150,0.0,no info,4174
Air India,2019-03-03,delhi,cochin,14:10:00,17:10:00,180,0.0,no info,7931
Multiple Carriers,2019-06-06,delhi,cochin,17:00:00,01:30:00,510,1.0,no info,7198
Indigo,2019-06-09,delhi,cochin,10:35:00,01:30:00,895,1.0,no info,6104
Jet Airways,2019-04-01,kolkata,banglore,16:30:00,08:15:00,945,1.0,in-flight meal not included,7064
Jet Airways,2019-06-06,kolkata,banglore,10:20:00,17:35:00,435,1.0,in-flight meal not included,9689
Jet Airways,2019-05-27,delhi,cochin,19:10:00,19:00:00,1430,2.0,no info,15129
Jet Airways,2019-03-12,banglore,new delhi,21:25:00,09:30:00,725,1.0,no info,13817
Indigo,2019-03-03,banglore,new delhi,07:10:00,10:05:00,175,0.0,no info,6860
Air India,2019-06-06,delhi,cochin,07:05:00,09:25:00,1580,2.0,no info,11447
Multiple Carriers,2019-05-18,delhi,cochin,07:10:00,22:30:00,920,1.0,no info,7740
Jet Airways,2019-06-27,delhi,cochin,13:25:00,19:00:00,1775,2.0,no info,15339
Air India,2019-04-09,kolkata,banglore,14:35:00,14:35:00,1440,1.0,no info,5006
Indigo,2019-06-12,chennai,kolkata,07:55:00,10:15:00,140,0.0,no info,3850
Spicejet,2019-05-18,delhi,cochin,15:45:00,22:05:00,380,1.0,no info,7317
Jet Airways,2019-05-06,kolkata,banglore,18:55:00,10:05:00,910,1.0,in-flight meal not included,7757
Indigo,2019-05-21,banglore,delhi,21:15:00,00:15:00,180,0.0,no info,3943
Indigo,2019-04-12,kolkata,banglore,09:35:00,12:20:00,165,0.0,no info,4174
Air India,2019-05-06,banglore,delhi,21:05:00,23:55:00,170,0.0,no info,5228
Jet Airways,2019-05-12,kolkata,banglore,06:30:00,19:50:00,800,1.0,in-flight meal not included,8586
Multiple Carriers,2019-03-21,delhi,cochin,13:15:00,21:20:00,485,2.0,no info,6653
Jet Airways,2019-06-12,delhi,cochin,05:30:00,19:00:00,810,2.0,in-flight meal not included,11507
Indigo,2019-04-06,kolkata,banglore,21:25:00,00:05:00,160,0.0,no info,4174
Jet Airways,2019-03-21,delhi,cochin,19:10:00,18:50:00,1420,2.0,no info,10929
Air India,2019-06-27,delhi,cochin,09:00:00,19:15:00,615,1.0,no info,8372
Jet Airways,2019-03-09,delhi,cochin,05:40:00,04:25:00,1365,2.0,no info,14861
Jet Airways,2019-04-06,delhi,cochin,11:00:00,14:15:00,195,0.0,in-flight meal not included,4886
Air India,2019-06-06,delhi,cochin,17:15:00,19:15:00,1560,2.0,no info,12777
Trujet,2019-03-06,mumbai,hyderabad,13:05:00,16:20:00,195,1.0,no info,4140
Spicejet,2019-04-03,banglore,delhi,21:10:00,00:05:00,175,0.0,no info,3971
Air India,2019-06-09,kolkata,banglore,05:50:00,20:25:00,875,2.0,no info,11201
Vistara,2019-06-06,kolkata,banglore,17:00:00,09:05:00,965,1.0,no info,8452
Air Asia,2019-04-12,banglore,delhi,04:55:00,07:45:00,170,0.0,no info,4282
Indigo,2019-06-01,kolkata,banglore,14:25:00,16:55:00,150,0.0,no info,6064
Air Asia,2019-05-21,kolkata,banglore,19:55:00,22:25:00,150,0.0,no info,4107
Jet Airways,2019-05-01,kolkata,banglore,06:30:00,08:15:00,1545,1.0,in-flight meal not included,9663
Indigo,2019-05-27,banglore,delhi,20:00:00,22:50:00,170,0.0,no info,4823
Air India,2019-03-06,mumbai,hyderabad,05:05:00,16:55:00,710,2.0,no info,16697
Air India,2019-03-06,mumbai,hyderabad,05:30:00,14:50:00,560,2.0,no info,13757
Jet Airways,2019-05-18,delhi,cochin,05:30:00,19:00:00,810,2.0,no info,15129
Jet Airways,2019-06-09,delhi,cochin,07:05:00,04:25:00,1280,1.0,in-flight meal not included,10262
Jet Airways,2019-04-24,banglore,delhi,19:50:00,22:50:00,180,0.0,no info,7229
Jet Airways,2019-04-01,kolkata,banglore,18:55:00,08:15:00,800,1.0,no info,12681
Indigo,2019-05-27,delhi,cochin,02:00:00,07:45:00,345,1.0,no info,6147
Spicejet,2019-06-15,kolkata,banglore,22:20:00,00:40:00,140,0.0,no info,3873
Multiple Carriers,2019-06-03,delhi,cochin,10:35:00,19:00:00,505,1.0,no info,10877
Indigo,2019-05-12,mumbai,hyderabad,20:05:00,21:40:00,95,0.0,no info,2227
Air India,2019-05-24,kolkata,banglore,14:35:00,14:35:00,1440,1.0,no info,6528
Air India,2019-05-06,kolkata,banglore,12:00:00,11:10:00,1390,2.0,no info,10676
Indigo,2019-06-12,kolkata,banglore,21:00:00,02:15:00,315,1.0,no info,5930
Spicejet,2019-06-01,chennai,kolkata,08:20:00,10:35:00,135,0.0,no check-in baggage included,3543
Jet Airways,2019-05-27,delhi,cochin,20:55:00,04:25:00,450,1.0,no info,16079
Indigo,2019-05-18,delhi,cochin,05:05:00,16:10:00,665,1.0,no info,6818
Spicejet,2019-04-01,kolkata,banglore,09:00:00,11:25:00,145,0.0,no check-in baggage included,3841
Multiple Carriers,2019-06-24,delhi,cochin,14:55:00,22:30:00,455,1.0,in-flight meal not included,6093
Multiple Carriers,2019-03-03,delhi,cochin,10:45:00,18:50:00,485,1.0,no info,15135
Jet Airways,2019-05-06,kolkata,banglore,20:25:00,22:05:00,1540,1.0,no info,11467
Indigo,2019-05-27,banglore,delhi,04:00:00,06:50:00,170,0.0,no info,3943
Jet Airways,2019-06-06,kolkata,banglore,20:25:00,23:35:00,1630,1.0,no info,14151
Indigo,2019-03-27,chennai,kolkata,11:35:00,14:00:00,145,0.0,no info,3858
Jet Airways,2019-05-15,kolkata,banglore,09:35:00,18:00:00,505,1.0,in-flight meal not included,12384
Air India,2019-06-06,kolkata,banglore,16:50:00,07:55:00,905,1.0,no info,8366
Multiple Carriers,2019-03-21,delhi,cochin,11:30:00,01:35:00,845,1.0,no info,13542
Air India,2019-03-24,kolkata,banglore,09:25:00,05:35:00,1210,2.0,no info,11774
Goair,2019-03-06,delhi,cochin,14:10:00,19:20:00,310,1.0,no info,19495
Jet Airways,2019-06-03,banglore,delhi,17:45:00,20:45:00,180,0.0,in-flight meal not included,6478
Jet Airways,2019-06-12,delhi,cochin,19:30:00,04:25:00,535,2.0,in-flight meal not included,10368
Multiple Carriers,2019-05-09,delhi,cochin,09:00:00,19:00:00,600,1.0,no info,10197
Jet Airways,2019-03-21,delhi,cochin,05:25:00,18:50:00,2245,2.0,no info,12814
Jet Airways,2019-03-24,kolkata,banglore,19:45:00,20:40:00,1495,1.0,no info,13759
Jet Airways,2019-06-12,banglore,delhi,15:15:00,18:10:00,175,0.0,no info,8016
Indigo,2019-06-03,delhi,cochin,05:05:00,12:10:00,425,1.0,no info,6818
Indigo,2019-03-18,kolkata,banglore,10:10:00,12:55:00,165,0.0,no info,4462
Vistara,2019-06-01,banglore,delhi,11:30:00,14:20:00,170,0.0,no info,4668
Jet Airways,2019-06-12,kolkata,banglore,06:30:00,18:15:00,705,1.0,no info,13626
Multiple Carriers,2019-03-27,delhi,cochin,11:40:00,18:50:00,430,1.0,no info,11421
Spicejet,2019-03-09,banglore,new delhi,20:30:00,23:20:00,170,0.0,no info,6205
Air India,2019-03-03,banglore,new delhi,12:00:00,23:55:00,715,3.0,no info,10573
Air India,2019-05-18,kolkata,banglore,09:25:00,21:50:00,745,1.0,no info,8366
Indigo,2019-06-24,banglore,delhi,18:55:00,21:50:00,175,0.0,no info,4823
Air India,2019-06-24,delhi,cochin,13:15:00,07:40:00,1105,2.0,no info,12497
Indigo,2019-04-24,banglore,delhi,06:05:00,08:50:00,165,0.0,no info,4423
Indigo,2019-03-03,banglore,new delhi,20:00:00,22:55:00,175,0.0,no info,6860
Jet Airways,2019-05-21,delhi,cochin,16:00:00,19:00:00,1620,1.0,in-flight meal not included,12898
Air India,2019-06-24,delhi,cochin,17:15:00,19:15:00,1560,2.0,no info,11972
Air India,2019-03-21,banglore,new delhi,08:15:00,23:10:00,895,1.0,no info,4943
Goair,2019-04-06,delhi,cochin,07:00:00,12:55:00,355,1.0,no info,5135
Jet Airways,2019-06-06,kolkata,banglore,17:00:00,14:25:00,1285,1.0,in-flight meal not included,10539
Jet Airways,2019-03-21,delhi,cochin,09:40:00,04:25:00,2565,2.0,no info,12819
Air India,2019-06-27,delhi,cochin,06:50:00,07:40:00,1490,2.0,no info,14431
Indigo,2019-05-24,chennai,kolkata,13:15:00,15:35:00,140,0.0,no info,3597
Jet Airways,2019-03-24,kolkata,banglore,21:10:00,10:05:00,775,1.0,no info,14914
Jet Airways,2019-06-09,mumbai,hyderabad,02:55:00,04:20:00,85,0.0,no info,5678
Indigo,2019-03-24,banglore,new delhi,10:10:00,13:00:00,170,0.0,no info,4777
Jet Airways,2019-06-24,mumbai,hyderabad,08:45:00,10:15:00,90,0.0,in-flight meal not included,4995
Jet Airways,2019-05-18,delhi,cochin,23:05:00,04:25:00,1760,2.0,no info,15129
Indigo,2019-05-27,delhi,cochin,17:30:00,01:30:00,480,1.0,no info,6206
Multiple Carriers,2019-05-18,delhi,cochin,09:45:00,22:30:00,765,1.0,no info,10348
Jet Airways,2019-03-06,banglore,new delhi,22:50:00,21:20:00,1350,1.0,no info,17471
Air India,2019-03-27,delhi,cochin,07:00:00,19:15:00,735,2.0,no info,10913
Jet Airways,2019-05-09,delhi,cochin,23:05:00,04:25:00,1760,2.0,no info,15129
Indigo,2019-03-09,banglore,new delhi,01:30:00,04:15:00,165,0.0,no info,6860
Jet Airways,2019-06-24,delhi,cochin,09:40:00,12:35:00,1615,2.0,in-flight meal not included,10368
Jet Airways,2019-03-24,kolkata,banglore,18:55:00,08:10:00,795,1.0,no info,14231
Indigo,2019-06-27,delhi,cochin,07:35:00,12:10:00,275,1.0,no info,5054
Air India,2019-03-18,banglore,new delhi,11:05:00,22:10:00,2105,2.0,no info,11161
Jet Airways,2019-05-21,kolkata,banglore,21:10:00,08:15:00,665,1.0,no info,14781
Indigo,2019-03-21,kolkata,banglore,22:10:00,00:55:00,165,0.0,no info,4148
Jet Airways,2019-06-12,kolkata,banglore,21:10:00,04:40:00,450,1.0,in-flight meal not included,7594
Jet Airways,2019-06-12,delhi,cochin,09:40:00,04:25:00,1125,2.0,in-flight meal not included,10368
Spicejet,2019-06-21,kolkata,banglore,06:55:00,09:30:00,155,0.0,no info,3873
Jet Airways,2019-05-27,delhi,cochin,05:30:00,04:25:00,1375,2.0,no info,15129
Indigo,2019-03-01,kolkata,banglore,09:35:00,12:20:00,165,0.0,no info,6565
Spicejet,2019-05-09,mumbai,hyderabad,13:15:00,14:45:00,90,0.0,no check-in baggage included,2175
Jet Airways,2019-06-03,delhi,cochin,13:00:00,19:00:00,360,1.0,in-flight meal not included,10262
Indigo,2019-06-09,delhi,cochin,06:50:00,16:10:00,560,1.0,no info,6442
Multiple Carriers,2019-03-06,delhi,cochin,16:00:00,01:35:00,575,1.0,in-flight meal not included,15136
Jet Airways,2019-05-18,delhi,cochin,11:30:00,04:25:00,1015,1.0,in-flight meal not included,12373
Air India,2019-03-12,mumbai,hyderabad,05:30:00,14:50:00,560,2.0,no info,11342
Jet Airways,2019-05-06,banglore,delhi,06:00:00,08:45:00,165,0.0,no info,7229
Air India,2019-05-21,kolkata,banglore,16:45:00,08:55:00,970,2.0,no info,14960
Indigo,2019-05-15,delhi,cochin,16:10:00,22:30:00,380,1.0,no info,6412
Multiple Carriers,2019-03-06,delhi,cochin,18:00:00,01:35:00,455,1.0,no info,16863
Indigo,2019-06-15,banglore,delhi,01:30:00,04:15:00,165,0.0,no info,3419
Air India,2019-03-03,delhi,cochin,18:05:00,21:10:00,185,0.0,no info,8666
Indigo,2019-05-24,kolkata,banglore,08:10:00,13:00:00,290,1.0,no info,5069
Air India,2019-04-15,kolkata,banglore,20:45:00,23:20:00,155,0.0,no info,4145
Jet Airways,2019-05-18,kolkata,banglore,05:45:00,04:40:00,1375,1.0,no info,13941
Jet Airways,2019-05-01,kolkata,banglore,14:05:00,08:15:00,1090,1.0,no info,13941
Air India,2019-03-15,banglore,new delhi,06:45:00,15:15:00,510,1.0,no info,8714
Jet Airways,2019-06-06,kolkata,banglore,14:05:00,04:40:00,875,1.0,no info,13059
Jet Airways,2019-03-21,delhi,cochin,19:10:00,18:50:00,1420,2.0,in-flight meal not included,6643
Jet Airways,2019-06-12,kolkata,banglore,08:25:00,20:45:00,740,1.0,in-flight meal not included,9899
Indigo,2019-05-15,kolkata,banglore,06:20:00,10:20:00,240,1.0,no info,4226
Spicejet,2019-05-18,banglore,delhi,09:30:00,12:20:00,170,0.0,no info,4423
Air India,2019-05-15,delhi,cochin,12:00:00,07:40:00,1180,2.0,no info,10651
Spicejet,2019-04-06,kolkata,banglore,14:55:00,17:25:00,150,0.0,no check-in baggage included,3841
Jet Airways,2019-05-24,mumbai,hyderabad,02:55:00,04:20:00,85,0.0,in-flight meal not included,4995
Air India,2019-04-03,delhi,cochin,06:05:00,09:25:00,1640,1.0,no info,5117
Spicejet,2019-06-06,delhi,cochin,08:45:00,13:15:00,270,1.0,no check-in baggage included,5158
Vistara,2019-06-18,delhi,cochin,06:00:00,09:10:00,190,0.0,no info,6216
Air India,2019-03-06,mumbai,hyderabad,09:40:00,23:45:00,845,2.0,no info,22619
Indigo,2019-06-06,chennai,kolkata,13:15:00,15:35:00,140,0.0,no info,3597
Jet Airways,2019-05-21,kolkata,banglore,16:30:00,04:40:00,730,1.0,in-flight meal not included,9663
Air India,2019-03-12,banglore,new delhi,08:50:00,23:15:00,865,1.0,no info,12127
Vistara,2019-05-01,kolkata,banglore,20:20:00,20:20:00,1440,1.0,no info,8610
Multiple Carriers,2019-05-09,delhi,cochin,09:00:00,21:00:00,720,1.0,no info,8073
Jet Airways,2019-06-03,delhi,cochin,08:00:00,19:00:00,660,1.0,in-flight meal not included,10577
Jet Airways,2019-06-09,kolkata,banglore,16:30:00,23:35:00,425,1.0,in-flight meal not included,10844
Jet Airways,2019-05-24,kolkata,banglore,08:25:00,18:15:00,590,1.0,no info,14571
Spicejet,2019-06-15,kolkata,banglore,09:00:00,11:25:00,145,0.0,no check-in baggage included,3841
